Text,Topic,Language
"💯💯💯","art","ENGLISH "
"Insaneee","art","ENGLISH "
"🔥🔥🔥🔥🔥😍😍😍","art","ENGLISH "
"😍😍😍Bring the heat bro🔥🔥","art","ENGLISH "
"Top post mate ! Love your content atm ! 🤘🔥","art","ENGLISH "
"Awesome shot this one mate 🔥","art","ENGLISH "
"Damnnnnn","art","ICELANDIC "
"Such a nice shot bro 🔥","art","ICELANDIC "
"Love the shot amir nice","art","ENGLISH "
"Nice outfit","art","ENGLISH "
"So stinking cute 😍","art","ENGLISH "
"Aww what a cute little guy ❤️","art","ENGLISH "
"Mes amours de ma vie ❤️","art","ENGLISH "
"Love these precious moments. Kids are such a gift. Happy Mother's Day #everyday ❤️","art","ENGLISH "
"He's sooo cute!!","art","ENGLISH "
"ah such a cool shot here","art","ENGLISH "
"This is a nice shot! ❤❤","art","ENGLISH "
"Soo pretty 😍","art","ENGLISH "
"The pics are lovely 💗 #spreadthelove","art","ENGLISH "
"Das ist ein richtig süßes Bild 😉","art","ENGLISH "
"This is so cute 😍","art","ENGLISH "
"So cute! We love it","art","ENGLISH "
"How adorable 😍","art","ENGLISH "
"Aha this is adorable","art","ENGLISH "
"Wow this is really amazing! Like it 😊","art","ENGLISH "
"Keep creating good content 🤩","art","ENGLISH "
"Awww he is a cutue","art","ENGLISH "
"What a cutie! Looking great bud!","art","ENGLISH "
"Omg how cute is this","art","ENGLISH "
"awww way too precious 😻💖","art","ENGLISH "
"What a cutie pie","art","ENGLISH "
"This photo is so amazing! 😊","art","ENGLISH "
"Nice post 🙏🏻","art","ENGLISH "
"cute boy","art","ENGLISH "
"Nice one 💪🏼","art","ENGLISH "
"So cool 🙌","art","ENGLISH "
"I absolutely love ya","art","ENGLISH "
"Omg he’s so cute","art","ENGLISH "
"What an adorable little guy 😍","art","ENGLISH "
"That's so awesome picture","art","ENGLISH "
"Very good caption i like that","art","ENGLISH "
"😍😍bellissimo  pupetta un'amore 😘👍","art","ENGLISH "
"This is so cute ❤️","art","ENGLISH "
"What a nice one 🙌","art","ENGLISH "
"Love his fit! What a cute little kid! 💕","art","ENGLISH "
"Hey you cute lil boy 👦🏼","art","ENGLISH "
"I love his outfit","art","ENGLISH "
"Omg!! What a major cutie 💕💕","art","ENGLISH "
"You guys look adorable 🙌","art","ENGLISH "
"À croquer cette bouille ! ❤","art","ENGLISH "
"Quelle jolie famille !","art","FRENCH "
"He is such a little cutie","art","ENGLISH "
"Cool Shot! ✌🏻💯","art","ENGLISH "
"Goooo mymy 🤩🤩🤩🤩🤩","art","ENGLISH "
"tough","art","ENGLISH "
"Cut up","art","ENGLISH "
"ily","art","HUNGARIAN "
"yessir 🔥","art","ENGLISH "
"my boyyyy 😂🖤","art","ENGLISH "

"i guess its my turn","art","ENGLISH "
"yesss chyyyy","art","ENGLISH "
"real spill","art","ENGLISH "
"#SLATT ❤️","art","ENGLISH "
"You smoove 🕺🏽","art","ENGLISH "
"spazz","art","ENGLISH "
"👏👏👏","art","ENGLISH "
"😍😍😍","art","ENGLISH "
"😍😍","art","ENGLISH "
"Very good pic because of the composition . İ think just need some lighting in this pic then great😍😍pls follow me?😍🙏","art","ENGLISH "
"عالي👌🏾👌🏾","art","ENGLISH "
"😍😍😍💚💚💚 یه دونه ای هنرمند دوست داشتنی 👌👌👌","art","ENGLISH "
"واي عزيزم عاليه هنرمند تريني❤️😘","art","PERSIAN "
"ميدونم كه براى سپنديار در حال احداث هست😂😂😂😂😂","art","ARABIC "
"😊","art","PERSIAN "
"Que época","art","PERSIAN "
"👍☺️","art","ENGLISH "
"😍😍😍😍","art","ENGLISH "
"Me recuerda a persona-pájaro de Rick y Morty 😁","art","ENGLISH "
"Gorgeous","art","SPANISH "
"Offfff be! Eline sağlık kardeşim süper olmuş 📸👏👍✨","art","SPANISH "
"👏👏","art","ENGLISH "
"Looks awesome! We would love to work together. message us!","art","ENGLISH "
"😍👏🙌","art","ENGLISH "
"Lovely, as usual💃🎶","art","ENGLISH "
"💙💙💙","art","ENGLISH "
"پرچم خردادیااا بالاس😉😘😍🏳","art","ENGLISH "
"دنیا با چی رنگ کردی؟","art","ENGLISH "
"جآن هنرمند😍😍😍","art","SINDHI "
"دلمون رفت براش ک...😍❤️🍃","art","SINDHI "
"🙏🏻💋💋","art","PERSIAN "
"😍چقدر رمانتیک","art","PERSIAN "
"👍👌","art","ENGLISH "
"👌😍💙","art","PERSIAN "
"و اون پنج سفید سالروز تول منه😍","art","PERSIAN "
"❤️😍😍","art","ENGLISH "
"Nice","art","ENGLISH "
"😁😁👌👌","art","ENGLISH "
"چه تقویم قشنگی😍😍🌷","art","ENGLISH "
"چه باحاله😍🍃","art","PERSIAN "
"👌👌","art","ENGLISH "
"مرررررررررسی","art","ENGLISH "
"😍😍😍😍😍😍😍","art","ENGLISH "
"عاللللییییه 😍😍😍😍 هنرمند","art","ENGLISH "
"Mi lasci il tuo numero?😍","art","ENGLISH "
"Magnifiques bien sûr","art","PERSIAN "
"Love it!","art","ENGLISH "
"Hi, I am very much eaiting for la liseuse!","art","ENGLISH "
"Frida! I love it great work","art","ENGLISH "
"OOOOH MY LORD LOOK AT THAT MAJOR CUTIE I ADORE YOUR STYLE I MEAN?? LOOK AT HOW CUTE THAT IS?? HHHECK 💖💖💖","art","ENGLISH "
"AWW THIS IS SO ADORABLE💕💕💕","art","ENGLISH "
"OFAJDJAJ OH MY GOD I JUST SCREAMED THIS IS ADORABLE!!!!! THANK u so MUCH AHHHH 💖💖💖💜💜💜","art","ENGLISH "
"Fino alla fine sempre e per sempre grazie mister ❤️⚪️⚫️","art","ITALIAN "
"❤️⚪️⚫️","art","ENGLISH "
"Wow 😻😻","art","ENGLISH "
"Ciao max, ciao barza😢","art","ITALIAN "
"#allegriout","art","ENGLISH "
"Finito in bellezza👎 ohhhhh","art","ITALIAN "
"Diciamo che le ultime hanno lasciato molto a desiderare.... ciao Mister🔥🤩","art","ITALIAN "
"Mi mancherà allegri","art","ITALIAN "
"🙂🙂🙂","art","ENGLISH "
"با صفان 👍👍","art","ENGLISH "
"احسنت👌👌","art","ENGLISH "
"بی نظیر 👌👌👌","art","ARABIC "
"Perfect 👍","art","PERSIAN "
"A great topic of your paintings for the summer time,... 🏖️. A great variety of you Art works,🎨🖌️🖼️ Dear Mr Ancchelicio🌹... 😚😘🤗","art","ENGLISH "
"Non vedo l'ora delle mie mostre!😁","art","ITALIAN "
"Prolifico","art","ITALIAN "
"Fantastici! Bravissimo!!👍👏👏😍😍","art","ITALIAN "
"Niceeee! Greetings from other side of the world 😊","art","ENGLISH "
"✌✌","art","ENGLISH "
"Wow🔥","art","ENGLISH "
"Nice😎","art","ENGLISH "
"Yas👏🏾","art","ENGLISH "
"but yes to badass vibes 🔥👌🏻","art","ENGLISH "
"Sweet","art","ENGLISH "
"Ik word elke keer blij als ik deze foto’s zie!! 🙌🏾❤️","art","DUTCH "
"It makes me think about Lana del Rey..did you ever drow her? It would be nice to see 💕","art","ENGLISH "
"Nice!!","art","ENGLISH "
"Gorgeous!  Wow!  She is lovely!💞💙","art","ENGLISH "
"aana kutho","art","ENGLISH "
"😎😎🔥","art","ENGLISH "
"🔥💓","art","ENGLISH "
"🙏🙏!!","art","ENGLISH "
"❤️🔥🔥🔥❤️👏","art","ENGLISH "
"Absolutely gorgeous 🔥","art","ENGLISH "
"Very beautiful ✌️","art","ENGLISH "
"I love this image 🖤","art","ENGLISH "
"KILLIN IT","art","ENGLISH "
"Wow😍","art","ENGLISH "
"❤️💗❤️","art","ENGLISH "
"😂😂😂","art","ENGLISH "
"😂😂","art","ENGLISH "
"Our team as looking for emerging artists Click the link in the bio of our 1340art profile if you want us to share your creations on our 1340art page","art","ENGLISH "
"Тебе Гаврилюк их вручила, хватит заливать 🐉","art","ENGLISH "
"Красоточка💋💋❤️❤️","art","RUSSIAN "
"Que top","art","FRENCH "
"Lovely","art","ENGLISH "
"Very beautiful photo","art","ENGLISH "
"Looking hot❤️","art","ENGLISH "
"‼️","art","ENGLISH "
"Una foto stupenda!!!!","art","ITALIAN "
"Lovely ❤️","art","ENGLISH "
"Love it🙌","art","ENGLISH "
"What a cool shot 😮👏","art","ENGLISH "
"Cette photo est sublime 💛","art","ENGLISH "
"28 😜✌🏻","art","ENGLISH "
"Ahaha excellent 28 💋💋","art","ENGLISH "
"Trop belle 😍","art","ENGLISH "
"26 sauf erreur + une belle Orchidée ;)","art","FRENCH "
"Moi je dis 26 😁 En tout cas la photo est magnifique ! 😍","art","FRENCH "
"26 fleurs, 2 orgasmes et 1 rendu excellent! 🙌🏻","art","FRENCH "
"Beauté 🖤","art","FRENCH "
"Non mais alors là. ! Trop canon 🤭","art","FRENCH "
"Superbe ! 😍","art","FRENCH "
"26","art","ENGLISH "
"27 🌸","art","ENGLISH "
"Magnifique cette photo. 😍 je dirais 25 ? 🙈","art","ENGLISH "
"Tu es de la poésie 🌸","art","FRENCH "
"25 ? En te comptant bien sûr 😍","art","FRENCH "
"Extra cette photo ❤️","art","FRENCH "
"Je te mets 1 j'aime, 1 magnifique, 1 sensuelle, 1 sublime ❤ Il y a 27 fleurs bleue ! Magniiiiiique photo très sexy 😉","art","FRENCH "
"Ma jolie trop belle cette photo 😍","art","FRENCH "
"Oh l’idée est trop top ! Et la photo est trop belle 😍","art","FRENCH "
"Olala 😍😍😍","art","ENGLISH "
"Très original😍","art","FRENCH "
"💙💙💙💙 j'adore 😍 mais j'ai la flemme de compter 🤪😜😘","art","FRENCH "
"Ah oui, du très lourd cette photo 😮😍","art","FRENCH "
"C’est trop joli 💙💙 j’adore","art","FRENCH "
"Superbe 😍","art","FRENCH "
"Whaoo, j’adore 😍 Trop jolie!","art","FRENCH "
"26 + toi = 27 !  Magnifique photo 😍","art","FRENCH "
"Oo love this babe 😍","art","ENGLISH "
"22 fleurs ❤️","art","ENGLISH "
"26 🌸","art","ENGLISH "
"26 petites fleurs plus une grande jolie fleur 🌹c’est sublime ma beauté 💫💫💫","art","ENGLISH "
"27 je dirais car j’ai un doute sur la fleur vers ton épaule où il pourrait en avoir 2 🙄🌹 en tout cas magnifique !","art","FRENCH "
"Magnifique 😍😳🙈","art","FRENCH "
"26? Et photo superbe 🤩🤩🤩","art","FRENCH "
"Superbe photo 😍 ! J'en compte 27 😊","art","FRENCH "
"26 petites fleur 😍","art","FRENCH "
"Toujours des photos originales et belle 😍💋","art","FRENCH "
"27 🙈","art","FRENCH "
"😍","art","ENGLISH "
"Beaucoup !","art","FRENCH "
"27 :p très belle photo !","art","FRENCH "
"Oh😍","art","ENGLISH "
"Euh 26 je crois mais je dirais 27 parce que t’es une belle fleur toi aussi😽","art","ENGLISH "
"26??😍😍❤️","art","ENGLISH "
"25 petites fleurs et avec toi 26 💙😍","art","ENGLISH "
"Je vais pas répondre à la question mais juste dire que cette photo est une folie 😍","art","FRENCH "
"26? Trop belle","art","FRENCH "
"25, 26 avec toi tu es vraiment très belle 😍😍😍. Magnifique photo encore une fois tellement de douceur !! 😘😘","art","FRENCH "
"Je n ai pas les mots 😍😍😍😍 c est toi la plus belle des fleurs","art","FRENCH "
"Bien joué ;)","art","FRENCH "
"28 ? 🤞","art","ENGLISH "
"Dans tous les cas, c'est une très belle photo. 😊","art","ENGLISH "
"Je sais pas mais la plus belle fleur c'est toi 💖😘","art","FRENCH "
"Mais quel est ton secret ? Tes photos sont magnifiques !","art","FRENCH "
"25 fleures bleues + une fleur rousse !","art","FRENCH "
"🔥🔥","art","ENGLISH "
"Hey lovely💐you're very beautiful💓,DM us,we have a great suprise for you🎁","art","ENGLISH "
"We like your feed 😘 it's an honor to collaborate with you 😍 💕 click our link and submit your details ,we are waiting for you 🔥","art","ENGLISH "
"La culture te réussie ahah 😍","art","ENGLISH "
"You look so amazing,😍 We really want to build a long partnership with you. Send us a DM ASAP💋","art","ENGLISH "
"J’adore ta tenue ❤️","art","ENGLISH "
"Beautiful","art","ENGLISH "
"Delicatezza...","art","ITALIAN "
"Magnifique 😍😍","art","FRENCH "
"Şu etiketlerden bi ara banada yapalım badi 😂","art","FRENCH "
"Tatlış tebessümlü bir kardeş🌸😇","art","TURKISH "
"Hey :) If you'd like to create your own art,  get in touch :) We'll surprise you :)","art","ENGLISH "
"Wow this is magical 😍","art","ENGLISH "
"She's so very lovely! 🖤","art","ENGLISH "
"Some really interesting silhouette and thumbnails 👌","art","ENGLISH "
"👍👍","art","ENGLISH "
"SO TALENTED","art","ENGLISH "
"AMAZING","art","ENGLISH "
"PERFECT","art","ENGLISH "
"❤️❤️❤️❤️","art","ENGLISH "
"I just wanna fix the eyes 👀","art","ENGLISH "
"NOTICE ME MOM","art","ENGLISH "
"Sorry but he looks Chines","art","ENGLISH "
"Sister crazy 😜","art","ENGLISH "
"OMFHDH UR SO TALENTED SPARE SOME","art","ENGLISH "
"Shak snapped again!!","art","ENGLISH "
"ONDGEHSHSH","art","ENGLISH "
"AMAZING😍","art","ENGLISH "
"YOUR SO TALENTED","art","ENGLISH "
"this is talent","art","ENGLISH "
"¡Nos vamos a comer el mundo!","art","ENGLISH "
"Puedo presumir yo poco de colega...","art","SPANISH "
"Fostes hasta a curota e non viñestes darme unha visita..solo eran 10 minutos 🤦‍♀️","art","SPANISH "
"❤️🔥😍👏","art","GALICIAN "
"Absolutely gorgeous ✨💓","art","ENGLISH "
"Your photos are super beautiful. View my photos and take a look🌹💙","art","ENGLISH "
"We love your style! We’d love to feature you wearing our gear. Direct message us when you see this 😎","art","ENGLISH "
"Love 💜","art","ENGLISH "
"OMG 😍😍😍","art","ENGLISH "
"Awww what a sweetie!","art","ENGLISH "
"❤️❤️❤️","art","ENGLISH "
"That facey 😍","art","ENGLISH "
"Love this!","art","ENGLISH "
"Sempre di classe! 😉","art","ITALIAN "
"عالی پروین جون هنرمندم 😍😘","art","ITALIAN "
"👌👌👌👌👏👏👏👏👏👏","art","PERSIAN "
"😘😘😘💚💚","art","ENGLISH "
"ironman wyd","art","ENGLISH "
"So sick!🔥","art","ENGLISH "
"🔥🔥🔥🔥","art","ENGLISH "
"Wow! This is so cool! You look awesome, Alex!!!💯❤️","art","ENGLISH "
"hello :) do to your hashtags/activity, i believe you might possibly like my profile! Please just give it a look and if you dont like it, feel free to delete my comment :) have a blessed day!","art","ENGLISH "
"Sei la mia vita❤️","art","ITALIAN "
"scusa ci conosciamo ?","art","ITALIAN "
"e se lo sai tu","art","ITALIAN "
"cosa sei🤩","art","ITALIAN "
"♥️","art","ENGLISH "
"Sono più efficaci nella descrizione","art","ENGLISH "
"Mah","art","ENGLISH "
"Non gabbo","art","ENGLISH "
"Non metto manco mi piace","art","ITALIAN "
"e giuramelo","art","ITALIAN "
"Le foto che faccio io 😍😂","art","ITALIAN "
"Ti amo","art","ITALIAN "
"Bella amore mio🥰","art","ITALIAN "
"😍😍♥️","art","ENGLISH "
"Sei bella","art","ITALIAN "
"dea","art","ROMANIAN "
"😍😍😍😍😍😍","art","ENGLISH "
"Divina","art","SPANISH "
"Una modella😍","art","ITALIAN "
"sei uno spettacolo 🤩","art","ITALIAN "
"una diva di hollywood","art","ITALIAN "
"Здравствуйте! Напишите нам пожалуйста в Директ 😍","art","ITALIAN "
"💘😘","art","RUSSIAN "
"😍👍🏼","art","ENGLISH "
"Здравствуйте, у меня к вам очень важная просьба. К нам в приют привезли щенка которого сбила машина и срочно требуется операция. А нам на её проведение не хватает огромной суммы. Не могли бы вы сделать репост  последней записи из нашего профиля к себе или оказать материальную помощь приюту. Подробно вся ситуация расписана у нас в профиле. Помогите пожалуйста хотя-бы как нибудь. Очень хочется спасти собачку.😥","art","ENGLISH "
"Абсолютная гармония!😍","art","RUSSIAN "
"Es una delicia😍😍😍😍😍😍😍","art","RUSSIAN "
"Здорово 😍😍😍 Опубликуйте на сайте - "авторскиекуклы.рф"","art","SPANISH "
"💙","art","ENGLISH "
"👏👏👏💕💕","art","ENGLISH "
"Beautiful 👏🏻👏🏻❤️","art","ENGLISH "
"Amazing artwork, keep going👍","art","ENGLISH "
"Stunning","art","ENGLISH "
"Wow😍😍😍😍","art","ENGLISH "
"Absolutely beautiful, love the detail in that eye! 👏👏💙","art","ENGLISH "
"So beautiful....excellent.","art","ENGLISH "
"Love it","art","ENGLISH "
"Superbe 👏","art","FRENCH "
"Beautiful, attention to detail is 👌🏻","art","ENGLISH "
"درود بر شما","art","ENGLISH "
"دست وپنجه ات مریزاد استاد فریدی نازنین 👏👏👏👏🌹🌹🌹🌹","art","PERSIAN "
"👌👌👌دست مریزاد استاد بزرگوارم بسیاااار زیبا و روحنواز 💖💖💖","art","PERSIAN "
"به به 👌👌💐💐","art","PERSIAN "
"بسیار زیبا استاد عزیز .لذت میبریم","art","PERSIAN "
"هزاران درود استاد جان👏👏👏👏👏","art","PERSIAN "
"🌺🌺🌺عالی","art","PERSIAN "
"I love the feeling on this piece ! 🔥","art","ENGLISH "
"A W E S O M E 🐾","art","HAWAIIAN "
"8","art","ENGLISH "
"That is pretty cool","art","ENGLISH "
"Caraca, incrível 👏🏻","art","ENGLISH "
"Pesadão","art","PORTUGUESE "
"Que demais. Também quero um com meu nome. Como a gente faz?","art","PORTUGUESE "
"Affff","art","ENGLISH "
"👏👏👏👏","art","ENGLISH "
"Sensacional","art","ENGLISH "
"Ficou incrível 😍","art","PORTUGUESE "
"Que maravilhoso!","art","PORTUGUESE "
"Que isso em","art","PORTUGUESE "
"Maravilhoso","art","PORTUGUESE "
"😱😱😱","art","ENGLISH "
"😍 Demais! 👏👏👏","art","ENGLISH "
"Tu e pika dente","art","PORTUGUESE "
"Pesado demais","art","ITALIAN "
"Massa demais","art","PORTUGUESE "
"Parabéns pelo trabalho! 👏🏾👏🏾💜","art","PORTUGUESE "
"🙏🏾🙏🏾🙏🏾🙏🏾","art","ENGLISH "
"Seu trabalho é excepcional! Parabéns!","art","ENGLISH "
"Ficou sensacional!!!! 🖤👏🏼 Funciona para qualquer tecido ou somente couro? Parabéns!!!","art","PORTUGUESE "
"Shoow!!","art","PORTUGUESE "
"Wow","art","ENGLISH "
"Ficou demais!!!","art","PORTUGUESE "
"Ficou incrível!!!👏","art","PORTUGUESE "
"Afff, ficou maravilhoso!!!!","art","PORTUGUESE "
"Se Locooooooo","art","CZECH "
"Trabalho incrível 😍","art","CZECH "
"👏🏻👏🏻👏🏻","art","ENGLISH "
"Tira o pé daí, rapaz!! Hehehe!!","art","ENGLISH "
"Muito modelo","art","ENGLISH "
"Trop stylé","art","ENGLISH "
"Magnifique👏🔥😍","art","FRENCH "
"Jau une question chadiii ? Est ce que tu peut dessiner un chat gris pour rendre hommage à mon chat qui et mort avant hier.. ☠️😢😭🙀 Merci ci tu le fait et ci tu l'a fait envoie moi le en pv sa c gentil de ta pars","art","FRENCH "
"Fortnite et onepiece 😍","art","FRENCH "
"Tu as geré la 👍","art","FRENCH "
"Yepai! C trop bo!!!","art","FRENCH "
"👏👏👏👏👏","art","ENGLISH "
"ماشاالله،عجب کیکی👏👏👏👏","art","ENGLISH "
"عالیه دختر ، خدا قوت ، دست مریزاد داری","art","ENGLISH "
"👍👍👍","art","PERSIAN "
"وااای 👏🏻👏🏻👏🏻👏🏻👏🏻","art","PERSIAN "
"Just gorgeous !!","art","ENGLISH "
"😍😍😍👏👏👏","art","PERSIAN "
"WE STAN A TALENTED ARTIST","art","ENGLISH "
"ITS SO PRETTY I'M SCREAMING","art","ENGLISH "
"I'M NOT CRYING YOUR CRYING","art","ENGLISH "
"Gwy.... I'm g a y","art","ENGLISH "
"THIS LOOKS SO GOOD I LOVE YOUR UNIQUE STYLE!! 😭💕💘
aLSO THE RHYME SOUNDS RLLY NICE TOO! 🌚👌💞","art","ENGLISH "
"MORE GWY","art","WELSH "
"For someone who grew up in germany, I was very surprised to see an english writing Instagrammer to have a german speaking OC","art","ENGLISH "
"Geiler scheiß ,sieht mega süß aus","art","ENGLISH "
"aaakskdjdj 💞💞💞","art","ENGLISH "
"Also can I just say that SHE LOOKS SO CONFUSED","art","ENGLISH "
"Gwy is adorable in this,,,, her expression is adorbs- Also the background is 👌💕💕💕","art","ENGLISH "
"Oh das is ja Deutsch :0","art","ENGLISH "
"UM I LOVE THIS❤️","art","ENGLISH "
"I want Fred to whisper in my ear in German","art","ENGLISH "
"Ich leibe Deutsch","art","ENGLISH "
"Oh I'm German so I didn't notice that something was different here at first 😂 also the drawing is beautiful as usual 💕","art","GERMAN "
"how would u draw her sideways, i mean she is a cyclops😂😂😂😂","art","ENGLISH "
"Translate nOW","art","ENGLISH "
"oof they're so cute! 🖤","art","ENGLISH "
"This is shinier than my future","art","ENGLISH "
"Him,,,,","art","ENGLISH "
"💚💚🌿","art","ENGLISH "
"... 💚🌾💚","art","ENGLISH "
"Omg so pretty 💖💖💖","art","ENGLISH "
"Love ittt 💖","art","ENGLISH "
"aw so pretty ❤️❤️❤️","art","ENGLISH "
"⚘⚘⚘⚘🎋🎋⚘🎋⚘","art","ENGLISH "
"Masha allah so beautiful i really appreciate this🥰🥰🥰","art","ENGLISH "
"❤️","art","ENGLISH "
"👍👍👍👍🤙","art","ENGLISH "
"masha allah","art","ARABIC "
"🍀 🇳🔴🇮🌿🇨🔴🇪🍀┈┉┅━❀🔷ω❍ω🔷❀━┅┉┈","art","ENGLISH "
"❤️ ماشاالله","art","ENGLISH "
"Waw 😍 Amazing ❣️mashaaalllah","art","PERSIAN "
"MashAllah!! As always a perfect shot of your beautiful work.❤️","art","ARABIC "
"ما شاء الله💗","art","ARABIC "
"Stunning masha’Allah 💕💕💕","art","ARABIC "
"Masha Allah Hows the Lovely Finishing it is 😍","art","ENGLISH "
"Stunning 😍","art","ENGLISH "
"Mashaallah 😍😍😍😍","art","ENGLISH "
"Beautiful mashallah 😍","art","ENGLISH "
"ماشاءالله اختي جميله","art","ENGLISH "
"Erdbeerzeit!🍓","art","GERMAN "
"Very beautiful....","art","ENGLISH "
"That’s a beauty Neil!","art","ENGLISH "
"Love the colours","art","ENGLISH "
"Beautiful!","art","ENGLISH "
"Excellent","art","ENGLISH "
"🎨✍🏻❤️ Beautiful 🎆","art","ENGLISH "
"Miazga😍","art","POLISH "
"Uu fajne","art","POLISH "
"Beautiful work 👏🏻","art","ENGLISH "
"I","art","ENGLISH "
"Клас❤️😻","art","ENGLISH "
"Ти як тритон❤🔥","art","BULGARIAN "
"Love the song, love the band 🖤🔥","art","UKRAINIAN "
"😍😍😍 LOVE THIS!!!!","art","UKRAINIAN "
"Amazing🔥🔥","art","ENGLISH "
"🙌 incroyable tu es!!","art","ENGLISH "
"مزهريه😭","art","ENGLISH "
"خاله","art","PERSIAN "
"مزهريه😂","art","PERSIAN "
"خاله😊","art","ARABIC "
"مزهرية ❤️","art","PERSIAN "
"عمه وخاله وام 🌹","art","ARABIC "
"خاله وعمه😍💜","art","SINDHI "
"مزهرية اني ههههههه","art","SINDHI "
"اني جدو","art","ARABIC "
"ثنينهم 🙈🙊😁","art","ARABIC "
"مزهريه","art","ARABIC "
"عمه وخاله😂💔","art","ARABIC "
"😂😂😂😂عمة وخاله","art","ARABIC "
"عمه 😊😊","art","ARABIC "
"مزهريه ههههه","art","ARABIC "
"عمة من زمان","art","ARABIC "
"مزهرية","art","ARABIC "
"مزهريه 😹","art","ARABIC "
"فباك","art","ARABIC "
"عمة وخالة وايكلولي يمة همين 😂😂","art","ARABIC "
"عمه وخاله","art","ARABIC "
"خالة","art","SINDHI "
"خاله 😍","art","SINDHI "
"قبل لا اجي لدنيه هم خال او هم عم😂😂","art","SINDHI "
"💛متفاعل","art","ARABIC "
"اب وعم وخال 😁","art","ARABIC "
"خال ل5 جهال","art","ARABIC "
"اني خالل","art","ARABIC "
"عمه وخاله ههه","art","SINDHI "
"🌷","art","ENGLISH "
"خاله فديتني😂😂","art","ENGLISH "
"انا عم وخالة ثنينهن","art","ARABIC "
"أني لا هاي ولا هذيج","art","ARABIC "
"خاله بس لجهال بنت عمتي 😂😂😂","art","ARABIC "
"خال","art","ARABIC "
"خاله وعمه 💖💖💖💖💖","art","SINDHI "
"متفاعل بلثواني🙂","art","SINDHI "
"خالة ويا خالة","art","SINDHI "
"عمة وخالة","art","SINDHI "
"مادري 🤧","art","ARABIC "
"عمه وخاله💛","art","ARABIC "
"عٌمَةّ وِخَأّلَةّ 💓","art","ARABIC "
"مزهريه😂😂😂","art","ARABIC "
"عمه وخاله 😌😌","art","SINDHI "
"هههه مزهرية 😂😂","art","SINDHI "
"فباك متفاعل ستوري ، عام","art","ARABIC "
"خاله😂😜","art","PERSIAN "
"خالة 😍","art","PERSIAN "
"اني عمه  وخاله وصايره امايه همات","art","PERSIAN "
"مزهرية😂","art","PERSIAN "
"مزهـريه 😂","art","ARABIC "
"عمه وخاله 😭","art","ARABIC "
"الشراري مر","art","SINDHI "
"Sweet!","art","ENGLISH "
"Nice!))","art","ENGLISH "
"Wonderful 👍","art","ENGLISH "
"I love your style","art","ENGLISH "
"Celui ci est très beau avec une seule teinte sur fond blanc!","art","ENGLISH "
"خوانندگی🙋","art","FRENCH "
"رسیدن ب تموم خاسته هام","art","FRENCH "
"😍💙","art","ENGLISH "
"فالي كاملا متفاوت
با هر آنچه كه تا كنون دیدید و گرفتید
در واقع فال نيست و همان علم ستاره شناسی و سرنوشت شماست كه دقيقا از لحظه ای كه به دنيا اومديد براي شما مقدر شده،این یکی‌ واقعا متفاوت خودت بیا ببین🏃🏃🙌👆","art","ENGLISH "
"👏👏👏👏👏👏","art","ENGLISH "
"[🎭،🎨‌]","art","ENGLISH "
"کتابام چاپ بشه😁","art","ENGLISH "
"کپشن عالی💜","art","PERSIAN "
"📸💎","art","URDU "
"میخوام خیاط شم و طرح های خودمو بدوزم","art","URDU "
"💓","art","URDU "
"هدفم بزرگه","art","URDU "
"انشالله ظهور امام زمان را ببینم","art","PERSIAN "
"👌💚💚","art","PERSIAN "
"عالیه عزیزم❤️","art","PERSIAN "
"Che Ghashange ♥️","art","PERSIAN "
"چقدر زیباست","art","PERSIAN "
"Awliii  bood","art","GUJARATI "
"awlie🌸","art","DUTCH "
"قشنگه","art","PERSIAN "
"وای چه خوبه","art","PERSIAN "
"Ch axiii😍👌🏻","art","ENGLISH "
"Wonderful setting & flowers 💐💖🌷","art","ENGLISH "
"You have one of the good galleries I've seen today 👌","art","ENGLISH "
"Thank you for sharing this beautiful wedding","art","ENGLISH "
"💯🔥","art","ENGLISH "
"🌐❤📸","art","ENGLISH "
"Fotooon😍😍😍","art","FINNISH "
"❤️❤️❤️❤️Haces mágia con la cámara 🤤✨","art","FINNISH "
"Brutal 🔥","art","SPANISH "
"🔥🔥🙌🙌","art","ENGLISH "
"Very nice post friend 💛","art","ENGLISH "
"¿Qué me va a parecer? Pues ARTE❤","art","ENGLISH "
"Vaya gemela me has buscadoJAJAJ cada dia te superas❤️","art","SPANISH "
"Ufff nice 😍😍","art","SPANISH "
"finísima! como siempre🔝","art","SPANISH "
"Clean white my friend","art","ENGLISH "
"Wooooo, te pasaste de maestro nene 😍","art","ENGLISH "
"Me encanta😍😍","art","SPANISH "
"Te superas en cada foto felix 👏😯💓","art","SPANISH "
"👍Good🙌","art","ENGLISH "
"Vaya fotón cariño🔥😍","art","SPANISH "
"Oh love this one","art","ENGLISH "
"Soooo cool!!! Love💕","art","ENGLISH "
"Elsker viben🧡","art","DANISH "
"could be a coke ad 😍so dam good 👌🙌","art","ENGLISH "
"Rått som alltid av deg 😃","art","ENGLISH "
"she spilled the whole Coke😕","art","NORWEGIAN "
"Dudie nice shot 🤘☀️ so edgy","art","ENGLISH "
"Digger den vintage følelsen! 😍","art","ENGLISH "
"🔥🔥🔥","art","DANISH "
"So beautiful 💓✨","art","ENGLISH "
"Haha yooo!!! THIS is dope babe 😍","art","ENGLISH "
